ID;deutsche Bezeichnung;Reich;Familie;Gattung;Art;Variation;Höhe max [cm];Etage;Wurzel;Wurzeltyp;Tiefe der Wurzeln;einjährig;mehrjährig;Raunkiaer;krautig;ausdauernd;sommergrün;immergrün;winterhart;Philie;Lichtzahl (L);Schatten;Halbschatten ;Vollsonne;Temperaturzahl (T);Temperaturminimum;Durchschnittliche minimale Temperatur [in °C];Feuchtigkeit (F);Bodenfeuchte;Boden;Sand;Lehm;durchlässig;locker;humusreich;humusarm;Kalkhaltig;Wasser;Steine;Trockenheitsresistenz;Hang;Salztoleranz;Kontinentalitätszahl (K);Reaktionszahl (R);Nährstoffzahl (N);Pflanzengesellschaft;ph;PH ideal;Nutzen;Funktion;Produkte;Bau;Fasern;Mulchmaterial;Gründünger;Stickstofffixierung;Boden lockernd;Giftig;Warnung;Blütezeit;Farbe Blüte;Bunte Blüte;Nektar;Pollen;Blüht am x Jährigen Trieb;Erntereif nach x Tagen;Erntemethode;Schnitt;Vermehrung;Bestäubung;Bestäubung.1;beneficial Insects ;Nützling;Nisthilfe;Verbreitung;Population;Rote Liste;Neophyt;bedrohte Art;Schutzbedarf;Vorhandene Samen;Hybride mit;Überdauerungsorgan;Pflanzschema;Beipflanzung ;Beipflanzung;Vorfrucht;USDA;USDA.1;RHS;RHS.1;Strategoe;Kohlenstofffixierung;
69;Kanadischer Judasbaum;Plantae;Fabaceae;Cercis;canadensis;;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Kartoffel;Plantae;Solanaceae;Solanum;tuberosum;;100;4 6;;;;;;;x;x;;;;;L7;;;;T6;;;F5;;;;;;;;;;;;;;;K4;R6;N7;VB;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Kaschmir-Bergenie;Plantae;Saxifragaceae;Bergenia;ciliata;;;4;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Kirsche;Plantae;Rosaceae;Prunus;?;;;2;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;Kirschpflaume;Plantae;Rosaceae;Prunus;cerasifera;;800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;
74;Knoblauch;Plantae;;;;;;4 6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;Kohlmeise;Metazoa;Paridae;Parus;major;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;Kohlrabi;Plantae;;Brassica;oleracea var. gongylodes;;;4;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;Kopfsalat;Plantae;Asteraceae;Lactuca;Sativa;;100;5;;;;x;;;;;;;;;L4;x;x;;T4;;;F3;;;;;;;;;;;;;;;K3;R3;N4;;<5.5;;E;;;;;;;;;;;;;;;;;60-120;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
78;Korallen-Ölweide;Plantae;;Elaeagnus;umbelata serinius;;;3;;;;;;;;;;;;; +;x;x;;;;;;0 -;;;;;;;;;;;;;;;;;;;;E N;P;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;
79;Korallen-Ölweide;Plantae;Elaegnaceae;Elaegnus;umbellata;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Kornellkirsche / Schein Hasel;Plantae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Kulturhanf;Plantae;;Cannabis;sativa;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Kulturheidelbeere Bluegold;Plantae;;Vaccinium;corymbosum Bluegold;;150;3;;;;;;;;;;;;; +;x;x;;;;;;;;;;;;;;;;;;;;;;;;;4,5 - 5,5;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Kulturheidelbeere Chandler;Plantae;;Vaccinium;corymbosum Chandler;;150;3;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;5,7;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Kulturheidelbeere Elliot;Plantae;;Vaccinium;corymbosum Elliot;;200;3;;;;;;;;;;;;; +;x;x;;;;;;;;;;;;;;;;;;;;;;;;;niedrig;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;Kulturheidelbeere Northcountry;Plantae;;Vaccinium;corymbosum Northcountry;;100;3;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;6,5-7;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Landassel;Metazoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;Lauch;Plantae;;Allium; ;;70;4;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;E I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;b;;;;;;;;;;
88;Lavendel;Plantae;Lamiaceae;Lavandula;angustifola;;100;4;;;;;x;;;x;;;x;;L5;;;;T7;;;F3;;;;;;;;;;;;;;;K6;R6;N3;;;;E;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;Lollo bionda;Plantae;Asteraceae;Lactuca;Sativa var. crispa;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;Lollo rosso;Plantae;Asteraceae;Lactuca;Sativa var. crispa;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Löwenzahn;Plantae;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Luffa-Gurke;Plantae;;Luffa;aegyptiaca ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;Schwamm, Küchenschwamm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Majoran;Plantae;Lamiaceae;Origanum;majorana;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Mandel;Plantae;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Mangold;Plantae;Chenopodiaceae;Beta;vulgaris;;;5;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Meerrettich;Plantae;Brassicaceae;Armoracia;rusticana;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Minze;Plantae;Lamiaceae;Mentha;;;;4;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Monkepuzzle;Plantae;Araucariaceae;Araucaria;araucana;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Olivenbaum;Plantae;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Oregano;Plantae;Lamiaceae;Origanum;vulgare;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Oregon-Stachelbeere;Plantae;;Ribes;divaricatum;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Paprika;Plantae;Solanaceae;Capsicum;annuum;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Phacelia;Plantae;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Pimpinelle;Plantae;Rosaceae;Sanguisorba;minor;;60;4;x;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Purpurrötliche Bergenie;Plantae;Saxifragaceae;Bergenia;purpurascens;;40;4;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;Quitte;Plantae;Rosaceae;Cydonia;oblonga;;;2;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Rabe;Metazoa;Corvidae;Corvus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Radicchio;Plantae;;Cichorium;intybus var. foliosum;;30;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;56-77;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
109;Radieschen;Plantae;;Raphanus;sativus;;;5 6;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;c;;;;;;;;;;
110;Rauke;Plantae;Brassicaceae;Rauken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Rhabarber;Plantae;;Rheum;rhabarbarum;;;4;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;Ribes;Plantae;;Ribes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;Riesenkürbis;Plantae;Curcubitaceae;Cucurbita;maxima;;;4;;;;;n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Ringelblume;Plantae;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Rosenkohl;Plantae;;Brassica;oleracea var. gemmifera;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Rosmarin;Plantae;Lamiaceae;Salvia;rosmarinus;;200;4;;;;;;;;x;;x;x;;L5;;;;T9;;;F3;;;;;x;;x;;;;;;;;K4;R7;N3;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Rote Beete;Plantae;;Beta;vulgaris;;;4;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Rote Melde;Plantae;Amaranthaceae;Atriplex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Rubus;Plantae;;Rubus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Rucola (Rauke);Plantae;Brassicaceae;Eruca;vesicaria;;;5;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Salatgurke;Plantae;Cucurbitaceae;Cucumis;sativus;;;5;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a;;;;;;;;;;
122;Sand-Straußgras;Plantae;Poaceae;Agrostis;vinealis;;;4;;;;;;;;;;;;;L9;;;;T7;;;F2;;;;;;;;;;;;;;;;R2;N1;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;Schmalblättriges Weisenröschen;Plantae;;Epilobium;angustifolium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;Schmetterling;Metazoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;Schnittsalat / Blattsalat;Plantae;Asteraceae;Lactuca;Sativa var. crispa;;100;5;;;;x;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;<5.5;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
126;Schwarzejohannesbeere;Plantae;;Ribes;nigrum;;200;3;;;;;;;;;;;;;0 -;;;;;;;; +;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Z7;;H5;;;;
127;Schwarzer Holunder;Plantae;;Sambucus;nigra;;;3;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;Sibirischer Tee;Plantae;Saxifragaceae;Bergenia;crassifolia;;45;4;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;Sperber;Metazoa;Accipitridae;Accipiter;nisus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;Spinat;Plantae;Chenopodiaceae;Spinacia;oleracea;;100;4;;;;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Beipflanzung;Vorfrucht;;;;;;;;;
131;Stachelbeere;Plantae;;Ribes;divaricatum;;300;3;;;;;;;;;;x;;;.+ 0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;Steirische Käferbohne, Bunte Feuerbohne;Plantae;;Phaseolus;coccineus;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;Tagetes;Plantae;;;;;;4 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;Taube;Metazoa;Columbidae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;Tomate;Plantae;;Solanum;lycopersicum;;;5 7;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a;;;;;;;;;C3;
136;Traubeneiche;Plantae;Fagaceae;Quercus;petraea;;4000;6 7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;Tulpen;Plantae;Liliaceae;Tulipa;;;70;4 6;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zwiebeln;;;;;;;;;;;
138;Wald-Erdbeere;Plantae;Rosaceae;Fragaria;vesca;;;5;;;;;x;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;Walnuss;Plantae;Juglandaceae;Juglans;regia;;;2;;;;;x;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;Weisskohl;Plantae;Brassicaceae;Brassica;oleracea convar. capitata;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;Wilde Rauke;Plantae;Brassicaceae;Diplotaxis;tenuifolia;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;Winter Latthugino;Plantae;Asteraceae;Lactuca;Sativa var. crispa;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;Winterglut;Plantae;Saxifragaceae;Bergenia;cordifolia;;;4;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;Winterlinde;Plantae;;Tibia;cordata;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;Vorfrucht;;;;;;;;;;
145;Wundklee;Plantae;Fabaceae;Anthyllis;vulneraria;;40;4;;;Tief;;x;;x;;;;;;L8;;;;T6;;;F3;;;;;;;;;x;;;;;;K3;R7;N2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;Zerbrechlicher Blasenfarn;Plantae;Woodsiaceae;Cystopteris;fragilis;;45;;;;;;x;;;x;x;;x;;;;;;;;ja;;feucht;;;;;x;;;x;x;x;;;;;;;;;niedrig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
147;Zitronenmelisse;Plantae;Lamiaceae;Melissa;officinalis;;90;4;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;x;;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;
148;Zurückgekrümmter Fuchsschwanz;Plantae;Amaranthaceae;Amaranthus ;retroflexus;;40;4;;;Tief;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
149;Zwiebel (Sommer);Plantae;Amarillydaceae;Allium;cepa;;;5 6;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;6-7;E;;;;;;;;;;;;;;;;;August-Oktober;;;März-April;;;;;;;;;;;;;;;b;;;;;;;;;;
150;Zwiebel (Winter);Plantae;Amarillydaceae;Allium;cepa;;;5 6;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;6-7;E;;;;;;;;;;;;;;;;;Juni;;;August;;;;;;;;;;;;;;;b;;;;;;;;;;
151;;Fungi;Ganomertaceae;Ganoderma;lucidum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;;Plantae;;Cordyline;australis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;;Plantae;;Lespedeza;capitate;;150;3;;;;;;;;;x;;;;;;;;;;;;;drained;;;;;;;;;;;;;;;;;;;E;P;;;;;x;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;Z4;;H7;;;;
154;;Plantae;;Gaultheria;procumbens;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;Z5;;H7;;;;
155;;Plantae;;Akebia;quinata;;;7;;;;;x;;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;Z F;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;;;;;;;;;;;Z5;;H7;;;;
156;;Plantae;Violaceae;Viola;tricolar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;;Plantae;;Arbutus;unedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;;Plantae;;Vetiveria;zizanoides;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;;Plantae;;Myrica;gale;;;3;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Z1;;H7;;;;
160;;Plantae;;Picea;glauca;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;;Plantae;;Fagaceae;?;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
162;;Plantae;;Pinus;resinosa;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;;Plantae;;Aselus;hippocastanum;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
164;;Plantae;;Acer;saccharinum ?;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;;Plantae;;Ulmus;?;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;;Plantae;?;?;?;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;;Plantae;;Acer;rubrum ?;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;;Plantae;;Betula;pendula ?;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
169;;Plantae;;Robinia;pseudoacacia;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;;Plantae;;Papulus;nigra;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;;Plantae;;Malus;?;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;;Plantae;;Parkinsonia ?;aculeata ?;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;;Plantae;?;?;?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
174;;Plantae;;Buddleja;davidii ?;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;;Plantae;;Rosa;chinensis;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;;Plantae;;Rosa;multiflora;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;;Plantae;;Prunus;cerasifera;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
